precision,recall,threshold
0.0018797887022319517,1.0,0.0
0.01134020618556701,0.9746835443037974,0.01
0.02825278810408922,0.9620253164556962,0.02
0.0527411519777932,0.9620253164556962,0.03
0.08333333333333333,0.9620253164556962,0.04
0.11949685534591195,0.9620253164556962,0.05
0.1645021645021645,0.9620253164556962,0.06
0.21082621082621084,0.9367088607594937,0.07
0.2616487455197133,0.9240506329113924,0.08
0.31877729257641924,0.9240506329113924,0.09
0.35960591133004927,0.9240506329113924,0.1
0.39037433155080214,0.9240506329113924,0.11
0.4444444444444444,0.9113924050632911,0.12
0.4931506849315068,0.9113924050632911,0.13
0.5461538461538461,0.8987341772151899,0.14
0.5725806451612904,0.8987341772151899,0.15
0.6016949152542372,0.8987341772151899,0.16
0.6283185840707964,0.8987341772151899,0.17
0.6513761467889908,0.8987341772151899,0.18
0.6635514018691588,0.8987341772151899,0.19
0.6826923076923077,0.8987341772151899,0.2
0.6893203883495146,0.8987341772151899,0.21
0.7244897959183674,0.8987341772151899,0.22
0.7634408602150538,0.8987341772151899,0.23
0.7717391304347826,0.8987341772151899,0.24
0.797752808988764,0.8987341772151899,0.25
0.8068181818181818,0.8987341772151899,0.26
0.8160919540229885,0.8987341772151899,0.28
0.8235294117647058,0.8860759493670886,0.29
0.8433734939759037,0.8860759493670886,0.33
0.8536585365853658,0.8860759493670886,0.34
0.875,0.8860759493670886,0.36
0.8860759493670886,0.8860759493670886,0.38
0.8974358974358975,0.8860759493670886,0.39
0.9090909090909091,0.8860759493670886,0.41
0.9078947368421053,0.8734177215189873,0.42
0.918918918918919,0.8607594936708861,0.44
0.9315068493150684,0.8607594936708861,0.45
0.9444444444444444,0.8607594936708861,0.46
0.9577464788732394,0.8607594936708861,0.49
0.9855072463768116,0.8607594936708861,0.52
0.9852941176470589,0.8481012658227848,0.56
0.9850746268656716,0.8354430379746836,0.62
0.9848484848484849,0.8227848101265823,0.69
0.9846153846153847,0.810126582278481,0.74
0.984375,0.7974683544303798,0.8
0.9841269841269841,0.7848101265822784,0.84
0.9838709677419355,0.7721518987341772,0.87
0.9836065573770492,0.759493670886076,0.89
0.9833333333333333,0.7468354430379747,0.9
0.9830508474576272,0.7341772151898734,0.92
0.9827586206896551,0.7215189873417721,0.94
0.9824561403508771,0.7088607594936709,0.95
0.9821428571428571,0.6962025316455697,0.96
0.9814814814814815,0.6708860759493671,0.97
1.0,0.5569620253164557,0.98
1.0,0.5189873417721519,0.99
1.0,0.43037974683544306,1.0
